Date,kW,KWh,wind_speed
01 01 2018 16:00,2812.279053,3133.259224,10.64752007
01 01 2018 16:10,2530.447021,2781.274041,9.982661247
01 01 2018 16:20,2399.121094,2711.492458,9.874385834
01 01 2018 16:30,2335.587891,2651.341009,9.785479546
01 01 2018 16:40,2341.133057,2527.945451,9.614232063
01 01 2018 16:50,2391.8479,2531.14794,9.618504524
01 01 2018 17:00,2118.389893,2207.79282,9.098683357
01 01 2018 17:10,1866.845947,1938.478601,8.677425385
01 01 2018 17:20,1865.619019,2000.011716,8.774898529
01 01 2018 17:30,1862.447998,1946.373955,8.689981461
01 01 2018 17:40,1884.119019,1909.416256,8.631073952
01 01 2018 17:50,1855.776978,1899.100734,8.614569664
01 01 2018 18:00,1958.133057,2285.917032,9.21884346
01 01 2018 18:10,2228.24292,2822.50949,10.04951954
01 01 2018 18:20,2529.291016,2974.866796,10.31871033
01 01 2018 18:30,2788.25708,3183.72246,10.76675987
01 01 2018 18:40,2692.929932,3093.110672,10.55825043
01 01 2018 18:50,2535.353027,2938.394607,10.25072002
01 01 2018 19:00,2584.665039,3048.823833,10.46477032
01 01 2018 19:10,2960.183105,3393.645541,11.39078045
01 01 2018 19:20,3062.978027,3437.597135,11.56554031
01 01 2018 19:30,3024.39209,3362.668742,11.2802496
01 01 2018 19:40,3187.9729,3378.826271,11.33677959
01 01 2018 19:50,3387.228027,3488.248491,11.80463982
01 01 2018 20:00,3209.018066,3386.244486,11.3635397
01 01 2018 20:10,3272.665039,3452.881108,11.63259029
01 01 2018 20:20,3209.698975,3407.867876,11.44476032
01 01 2018 20:30,3134.518066,3360.225775,11.27190018
01 01 2018 20:40,2977.824951,3292.880925,11.05900955
01 01 2018 20:50,3431.772949,3537.173706,12.10377979
01 01 2018 21:00,3604.209961,3597.469467,12.92813969
01 01 2018 21:10,3601.327881,3600,13.31941986
01 01 2018 21:20,3604.426025,3600,13.12152004
01 01 2018 21:30,3604.391113,3600,13.23544979
01 01 2018 21:40,3604.337891,3600,13.23589993
01 01 2018 21:50,3554.687988,3600,13.02956009
01 01 2018 22:00,3479.407959,3597.794635,12.96393967
01 01 2018 22:10,3472.333008,3597.13106,12.90295029
01 01 2018 22:20,3491.510986,3593.704942,12.76634026
01 01 2018 22:30,3536.989014,3597.059449,12.89834976
01 01 2018 22:40,3528.658936,3592.814313,12.74211025
01 01 2018 22:50,3581.540039,3562.990095,12.31826019
01 01 2018 23:00,3570.079102,3572.556143,12.41880989
01 01 2018 23:10,3597.604004,3582.204643,12.54298973
01 01 2018 23:20,3441.025879,3589.945634,12.67599964
01 01 2018 23:30,3373.969971,3600,13.00304985
01 01 2018 23:40,3369.812988,3600,13.29767036
01 01 2018 23:50,3375.903076,3595.984792,12.84405994
02 01 2018 00:00,3377.649902,3591.300461,12.70538998
02 01 2018 00:10,3374.423096,3547.627655,12.1833601
02 01 2018 00:20,3401.081055,3550.307222,12.20514011
02 01 2018 00:30,3469.412109,3585.959181,12.60188007
02 01 2018 00:40,3511.809082,3595.996394,12.84455013
02 01 2018 00:50,3536.759033,3578.911555,12.49705982
02 01 2018 01:00,3467.808105,3536.105139,12.09607029
02 01 2018 01:10,3460.677002,3549.206917,12.19612026
02 01 2018 01:20,3589.443115,3582.702554,12.55035019
02 01 2018 01:30,3527.718994,3586.762967,12.6156702
02 01 2018 01:40,3561.26709,3600,13.10278034
02 01 2018 01:50,3604.068115,3600,13.68774986
02 01 2018 02:00,3604.176025,3600,14.10241985
02 01 2018 02:10,3593.200928,3600,14.39330959
02 01 2018 02:20,3493.821045,3600,14.07954979
02 01 2018 02:30,3470.701904,3600,14.05440044
02 01 2018 02:40,3436.610107,3600,13.51247025
02 01 2018 02:50,3401.455078,3600,13.71004963
02 01 2018 03:00,3395.23291,3600,13.7423296
02 01 2018 03:10,3417.503906,3600,13.14186001
02 01 2018 03:20,3465.108887,3596.50506,12.86771011
02 01 2018 03:30,3467.417969,3596.060138,12.84727001
02 01 2018 03:40,3522.406982,3592.421666,12.73211002
02 01 2018 03:50,3510.10791,3580.322941,12.51620007
02 01 2018 04:00,3513.844971,3585.767414,12.59866047
02 01 2018 04:10,3564.008057,3600,13.23031998
02 01 2018 04:20,3475.278076,3600,13.0946703
02 01 2018 04:30,3561.990967,3597.329407,12.91687965
02 01 2018 04:40,3521.554932,3587.762741,12.63354969
02 01 2018 04:50,3493.60791,3595.524457,12.82567024
02 01 2018 05:00,3555.304932,3582.111096,12.54162025
02 01 2018 05:10,3377.12793,3537.337786,12.10496998
02 01 2018 05:20,3479.626953,3567.394707,12.36250019
02 01 2018 05:30,3539.112061,3586.079315,12.60391045
02 01 2018 05:40,3430.436035,3551.161616,12.21222019
02 01 2018 05:50,3301.917969,3520.011831,11.98762035
02 01 2018 06:00,3235.543945,3463.031603,11.67932987
02 01 2018 06:10,3519.022949,3576.798254,12.46971989
02 01 2018 06:20,3469.537109,3578.748756,12.49489975
02 01 2018 06:30,3296.186035,3485.417643,11.78983021
02 01 2018 06:40,3045.51001,3237.314957,10.90355015
02 01 2018 06:50,3444.741943,3548.214895,12.18807983
02 01 2018 07:00,3417.746094,3518.508247,11.97813034
02 01 2018 07:10,2807.613037,3144.977295,10.67446995
02 01 2018 07:20,2493.393066,2588.59196,9.69664669
02 01 2018 07:30,3215.196045,3400.782508,11.41759014
02 01 2018 07:40,3589.590088,3590.573175,12.68927002
02 01 2018 07:50,3599.149902,3600,13.05860043
02 01 2018 08:00,3375.177002,3426.922472,11.52081966
02 01 2018 08:10,3346.980957,3424.84719,11.51231003
02 01 2018 08:20,3567.967041,3572.336603,12.41629982
02 01 2018 08:30,3519.264893,3544.686608,12.16014957
02 01 2018 08:40,3485.191895,3461.269666,11.67107964
02 01 2018 08:50,3145.562988,3321.545696,11.14585972
02 01 2018 09:00,2978.310059,3186.225079,10.77289963
02 01 2018 09:10,3179.008057,3247.07462,10.92975998
02 01 2018 09:20,3461.581055,3542.069502,12.14006042
02 01 2018 09:30,3082.549072,3337.205225,11.19556046
02 01 2018 09:40,3493.657959,3597.678446,12.94869041
02 01 2018 09:50,3601.045898,3600,14.87942982
02 01 2018 10:00,3597.564941,3600,15.12405968
02 01 2018 10:10,3602.172119,3600,16.29367065
02 01 2018 10:20,3601.99292,3600,16.12397957
02 01 2018 10:30,3600.791016,3600,15.27460003
02 01 2018 10:40,3590.75,3600,13.56672001
02 01 2018 10:50,3601.845947,3600,15.36779976
02 01 2018 11:00,3601.870117,3600,15.86174965
02 01 2018 11:10,3591.655029,3600,14.92051029
02 01 2018 11:20,3579.024902,3600,13.60853004
02 01 2018 11:30,3598.131104,3600,14.46385956
02 01 2018 11:40,3525.333008,3590.527705,12.68828964
02 01 2018 11:50,3560.699951,3600,13.55690002
02 01 2018 12:00,3537.676025,3600,13.32281017
02 01 2018 12:10,3491.291016,3586.261512,12.60700989
02 01 2018 12:20,3530.766113,3562.628404,12.31476021
02 01 2018 12:30,2915.839111,3006.71767,10.3801899
02 01 2018 12:40,2178.658936,2219.691985,9.11702919
02 01 2018 12:50,2244.412109,2308.322526,9.253190994
02 01 2018 13:00,1278.89502,2190.704763,9.072306633
02 01 2018 13:10,2832.934082,2988.424599,10.34463024
02 01 2018 13:20,3205.9729,3307.71074,11.10330963
02 01 2018 13:30,3149.284912,3296.300642,11.06910992
02 01 2018 13:40,3273.656006,3375.742901,11.32581043
02 01 2018 13:50,3114.099121,3277.761152,11.01513958
02 01 2018 14:00,3111.060059,3238.706158,10.90725994
02 01 2018 14:10,3361.011963,3481.44923,11.76941013
02 01 2018 14:20,3421.419922,3501.130346,11.87483025
02 01 2018 14:30,3520.148926,3545.851555,12.16926003
02 01 2018 14:40,3589.427002,3595.389466,12.82061958
02 01 2018 14:50,3495.115967,3584.095307,12.57161999
02 01 2018 15:00,3298.761963,3395.929165,11.39929962
02 01 2018 15:10,2894.440918,3087.174334,10.54543018
02 01 2018 15:20,3486.628906,3562.063389,12.30932999
02 01 2018 15:30,3455.24707,3545.731948,12.1683197
02 01 2018 15:40,3556.785889,3559.699203,12.28707981
02 01 2018 15:50,3375.582031,3523.986209,12.01319027
02 01 2018 16:00,3493.979004,3551.318734,12.21352959
02 01 2018 16:10,3549.147949,3597.57459,12.93774033
02 01 2018 16:20,3483.315918,3600,13.66942024
02 01 2018 16:30,3589.858887,3600,13.69785976
02 01 2018 16:40,3584.235107,3593.421089,12.75835991
02 01 2018 16:50,3599.008057,3593.664238,12.76517963
02 01 2018 17:00,3602.637939,3600,13.07721996
02 01 2018 17:10,3550.563965,3585.451317,12.59340954
02 01 2018 17:20,3552.782959,3580.139581,12.51366997
02 01 2018 17:30,3585.010986,3581.613183,12.53439999
02 01 2018 17:40,3421.176025,3516.3102,11.96442986
02 01 2018 17:50,3406.040039,3513.264349,11.94577026
02 01 2018 18:00,3515.610107,3550.542117,12.20707989
02 01 2018 18:10,3515.965088,3558.399068,12.2751503
02 01 2018 18:20,3475.418945,3592.036307,12.72264004
02 01 2018 18:30,3471.156982,3557.31619,12.26537037
02 01 2018 18:40,3281.754883,3468.159913,11.70368958
02 01 2018 18:50,2955.11499,3259.412905,10.96352959
02 01 2018 19:00,3061.735107,3367.805139,11.29796982
02 01 2018 19:10,2679.110107,3141.292611,10.66594982
02 01 2018 19:20,2721.081055,3210.350601,10.8332901
02 01 2018 19:30,2649.136963,3102.339998,10.57837009
02 01 2018 19:40,2707.74292,3010.962279,10.38854027
02 01 2018 19:50,2508.832031,2841.099422,10.08041954
02 01 2018 20:00,2316.647949,2687.688082,9.838738441
02 01 2018 20:10,3081.542969,3406.637064,11.43999958
02 01 2018 20:20,3397.638916,3512.977172,11.94402981
02 01 2018 20:30,3391.716064,3498.353994,11.85929012
02 01 2018 20:40,3587.510986,3595.135782,12.81147957
02 01 2018 20:50,3603.112061,3597.284381,12.91353989
02 01 2018 21:00,3591.093018,3592.269026,12.72832012
02 01 2018 21:10,3221.044922,3459.656972,11.66357994
02 01 2018 21:20,2887.733887,3305.038612,11.0952301
02 01 2018 21:30,2364.534912,2888.183469,10.16094971
02 01 2018 21:40,1935.847046,2275.211448,9.202415466
02 01 2018 21:50,1549.480957,1852.273851,8.539284706
02 01 2018 22:00,1625.755981,2021.754239,8.809141159
02 01 2018 22:10,1994.222046,2523.60898,9.608460426
02 01 2018 22:20,2362,2691.848533,9.844923973
02 01 2018 22:30,2097.771973,2364.198743,9.338670731
02 01 2018 22:40,1564.590942,1781.899877,8.424916267
02 01 2018 22:50,1107.474976,1339.713949,7.656233788
02 01 2018 23:00,1303.116943,1613.847713,8.144581795
02 01 2018 23:10,1561.182007,1857.140175,8.54713726
02 01 2018 23:20,1544.999023,1755.627598,8.381804466
02 01 2018 23:30,1456.738037,1445.553534,7.850449085
02 01 2018 23:40,1795.644043,1925.374082,8.656551361
02 01 2018 23:50,2773.291016,3244.617174,10.92311954
03 01 2018 00:00,2782.568115,3019.332696,10.4051199
03 01 2018 00:10,2446.424072,2468.761378,9.498130798
03 01 2018 00:20,3412.39209,3510.684928,11.93025017
03 01 2018 00:30,3255.337891,3298.717792,11.07629013
03 01 2018 00:40,2796.876953,3045.466801,10.45788002
03 01 2018 00:50,2467.954102,2655.255241,9.791149139
03 01 2018 01:00,1278.886963,1323.911052,7.626486778
03 01 2018 01:10,1042.537964,1150.913828,7.287635803
03 01 2018 01:20,609.0761719,703.7205269,6.228209019
03 01 2018 01:30,175.4407043,216.0170723,4.47162199
03 01 2018 01:40,112.1109009,147.1041396,4.127829075
03 01 2018 01:50,271.9171143,344.1094784,5.032844067
03 01 2018 02:00,737.4487915,717.8434981,6.267045021
03 01 2018 02:10,1375.579956,1397.52319,7.763337135
