Date,kW,KWh,wind_speed
2018-07-01 00:00:00,3147.275879,3397.571442,11.40546036
2018-07-01 00:10:00,2947.684082,3285.570092,11.03763962
2018-07-01 00:20:00,3163.635986,3483.77105,11.78131008
2018-07-01 00:30:00,3443.136963,3581.20464,12.52855968
2018-07-01 00:40:00,3330.927002,3539.172851,12.11839962
2018-07-01 00:50:00,3083.243896,3395.469432,11.39758015
2018-07-01 01:00:00,2770.948975,3112.900611,10.6016798
2018-07-01 01:10:00,2660.316895,3030.933495,10.42835045
2018-07-01 01:20:00,2693.02002,3055.494327,10.47854042
2018-07-01 01:30:00,2655.571045,3046.788845,10.46059036
2018-07-01 01:40:00,2745.897949,3074.516008,10.51840019
2018-07-01 01:50:00,3073.591064,3360.689262,11.27348042
2018-07-01 02:00:00,3117.308105,3379.095038,11.33773994
2018-07-01 02:10:00,3298.27002,3482.293067,11.77371979
2018-07-01 02:20:00,3182.297119,3405.794444,11.43675041
2018-07-01 02:30:00,3299.024902,3502.795909,11.88426971
2018-07-01 02:40:00,3478.102051,3560.362738,12.29325008
2018-07-01 02:50:00,3583.790039,3563.456311,12.32279968
2018-07-01 03:00:00,3578.458984,3561.796429,12.30677986
2018-07-01 03:10:00,3585.979004,3560.047318,12.29030991
2018-07-01 03:20:00,3603.324951,3590.206071,12.68144035
2018-07-01 03:30:00,3603.593018,3591.717069,12.71502972
2018-07-01 03:40:00,3602.949951,3596.308785,12.8583498
2018-07-01 03:50:00,3602.795898,3595.242468,12.81527042
2018-07-01 04:00:00,3597.191895,3586.339275,12.60834026
2018-07-01 04:10:00,3584.740967,3594.443141,12.78845978
2018-07-01 04:20:00,3554.150879,3600.0,13.15159035
2018-07-01 04:30:00,3517.225098,3600.0,13.13239002
2018-07-01 04:40:00,3476.658936,3600.0,13.2908802
2018-07-01 04:50:00,3455.769043,3600.0,13.48886967
2018-07-01 05:00:00,3445.298096,3600.0,13.68113041
2018-07-01 05:10:00,3425.479004,3600.0,13.66726017
2018-07-01 05:20:00,3430.003906,3600.0,13.83246994
2018-07-01 05:30:00,3401.62207,3600.0,13.80698967
2018-07-01 05:40:00,3396.74707,3600.0,14.27313042
2018-07-01 05:50:00,3418.856934,3600.0,14.64898968
2018-07-01 06:00:00,3443.596924,3600.0,15.15060997
2018-07-01 06:10:00,3443.709961,3600.0,15.43694019
2018-07-01 06:20:00,3432.080078,3600.0,16.01281929
2018-07-01 06:30:00,3497.419922,3600.0,15.96730042
2018-07-01 06:40:00,3433.666016,3600.0,15.65081024
2018-07-01 06:50:00,3551.625,3600.0,15.98645973
2018-07-01 07:00:00,3604.094971,3600.0,15.96218014
2018-07-01 07:10:00,3604.241943,3600.0,16.05054092
2018-07-01 07:20:00,3604.22998,3600.0,15.89052963
2018-07-01 07:30:00,3604.329102,3600.0,15.16790962
2018-07-01 07:40:00,3603.945068,3600.0,14.34165955
2018-07-01 07:50:00,3603.947021,3600.0,13.9471302
2018-07-01 08:00:00,3600.100098,3597.78983,12.96321011
2018-07-01 08:10:00,3112.611084,3309.409845,11.10846996
2018-07-01 08:20:00,1956.968018,1924.343647,8.65490818
2018-07-01 08:30:00,2000.222046,1959.044369,8.710100174
2018-07-01 08:40:00,2430.956055,2371.084237,9.349188805
2018-07-01 08:50:00,2407.562988,2365.187524,9.340181351
2018-07-01 09:00:00,2915.782959,3064.862613,10.49806023
2018-07-01 09:10:00,2278.343994,2287.320856,9.220996857
2018-07-01 09:20:00,2668.512939,2822.012645,10.04870033
2018-07-01 09:30:00,2564.800049,2659.56715,9.797412872
2018-07-01 09:40:00,2782.284912,3023.084058,10.41259956
2018-07-01 09:50:00,3146.324951,3331.918338,11.17858982
2018-07-01 10:00:00,2980.375,3103.383658,10.58065987
2018-07-01 10:10:00,2557.783936,2785.764744,9.989833832
2018-07-01 10:20:00,2047.16394,1986.475545,8.753529549
2018-07-01 10:30:00,2196.951904,2302.710329,9.244591713
2018-07-01 10:40:00,2200.612061,2317.687968,9.26753521
2018-07-01 10:50:00,2276.938965,2449.993122,9.469543457
2018-07-01 11:00:00,2637.587891,2856.668583,10.10667992
2018-07-01 11:10:00,1743.103027,1668.752973,8.237431526
2018-07-01 11:20:00,2817.933105,3071.021451,10.51101017
2018-07-01 11:30:00,3442.739014,3546.617644,12.17531013
2018-07-01 11:40:00,3493.36499,3555.818898,12.25207043
2018-07-01 11:50:00,3547.762939,3560.515601,12.29467964
2018-07-01 12:00:00,3366.832031,3521.360929,11.99621964
2018-07-01 12:10:00,3396.950928,3478.45199,11.75424004
2018-07-01 12:20:00,3177.454102,3377.269462,11.33123016
2018-07-01 12:30:00,3021.465088,3262.951206,10.97334957
2018-07-01 12:40:00,2818.601074,3138.517216,10.6595602
2018-07-01 12:50:00,3381.593018,3467.108082,11.69865036
2018-07-01 13:00:00,3211.552979,3379.520086,11.3392601
2018-07-01 13:10:00,3489.73291,3555.814346,12.25203037
2018-07-01 13:20:00,3465.790039,3531.843665,12.06601048
2018-07-01 13:30:00,3533.800049,3600.0,13.00734997
2018-07-01 13:40:00,3549.374023,3588.378476,12.64500999
